category,composition,description,details,fiche_technique,image,moreDetails,price,taille,title,url
,,,"
            Détails
        , ,
                Marque
            , ,
                            4F
                        , , ,
                Couleur
            , ,Rouge, ,
                Couleur indiquée par le fabricant
            , ,62S, ,
                Motif
            , ,Uni, ,
                Fermeture
            , ,À enfiler, ,
                Décolleté
            , ,
                            Rond
                        , , ,
                Modèle
            , ,4FAW23TTSHM0876, ,
                Gamme
            , ,4F Fall/Winter 2023, ,
                Index
            , ,0000302882472, , , 
        Afficher plus de détails
    ,
            Taille et ajustement
        , , ,
                Ajustement
            , ,
                            Regular Fit
                        , , ,
                Longueur
            , ,
                            standard
                        , , , , ,
            Composition et entretien
        , ,
                Composition
            , ,100% coton, , , ",,,,,,T-shirt 4FAW23TTSHM0876 Rouge Regular Fit,https://modivo.fr/p/4f-t-shirt-4faw23ttshm0876-rouge-regular-fit-0000302882472
,,,"
            Détails
        , ,
                Marque
            , ,
                            Columbia
                        , , ,
                Chaussures de sport
            , ,Outdoor, ,
                Couleur
            , ,Noir, ,
                Couleur indiquée par le fabricant
            , ,Black Buffalo Check Print 010, ,
                Fermeture
            , ,À enfiler, ,
                Décolleté
            , ,
                            À boutons / camionneur
                        , , ,
                Manche
            , ,Manche longue, ,
                Modèle
            , ,Sweater Weather™ II Printed Half Zip, ,
                Gamme
            , ,Columbia Fall/Winter 2023, ,
                Index
            , ,0000302400300, , , 
        Afficher plus de détails
    ,
            Taille et ajustement
        , , ,Notre mannequin mesure 189 cm et porte actuellement une taille L fabricant, ,
                Ajustement
            , ,
                            Regular Fit
                        , , ,
                Longueur
            , ,
                            standard
                        , , , , ,
            Composition et entretien
        , ,
                Composition
            , ,100% polyester, , , , 
                Afficher les conseils d'entretien
            , , Conseils d'entretien: , , ,
            séchage en machine à basse vitesse
        , ,
            blanchiment exclu
        , ,
            repassage exclu
        , ,
            nettoyage à sec interdit
        , ,
            lavage en machine à 30°C programme délicat
        ",,,,,,Veste polaire Sweater Weather™ II Printed Half Zip Noir Regular Fit,https://modivo.fr/p/columbia-veste-polaire-sweater-weathertm-ii-printed-half-zip-noir-regular-fit-0000302400300
,,,"
            Détails
        , ,
                Marque
            , ,
                            Karl Kani
                        , , ,
                Couleur
            , ,Bleu marine, ,
                Couleur indiquée par le fabricant
            , ,Navy, ,
                Motif
            , ,Uni, ,
                Fermeture
            , ,À enfiler, ,
                Manche
            , ,Manche longue, ,
                Modèle
            , ,6092649, ,
                Gamme
            , ,Karl Kani Fall/Winter 2023, ,
                Index
            , ,0000303161958, , , 
        Afficher plus de détails
    ,
            Taille et ajustement
        , , ,
                Ajustement
            , ,
                            Regular Fit
                        , , ,
                Longueur
            , ,
                            standard
                        , , , , ,
            Composition et entretien
        , ,
                Composition
            , ,80% coton 20% polyester, , , , 
                Afficher les conseils d'entretien
            , , Conseils d'entretien: , , ,
            nettoyage à sec interdit
        , ,
            repassage à température faible max.110°C
        , ,
            lavage en machine à 30°C programme délicat
        , ,
            blanchiment exclu
        , ,
            séchage en machine interdit
        ",,,,,,Sweatshirt 6092649 Bleu marine Regular Fit,https://modivo.fr/p/karl-kani-sweatshirt-6092649-bleu-marine-regular-fit-0000303161958
,,,"
            Détails
        , ,
                Marque
            , ,
                            Kappa
                        , , ,
                Couleur
            , ,Noir, ,
                Couleur indiquée par le fabricant
            , ,Caviar 19-4006, ,
                Décolleté
            , ,
                            Rond
                        , , ,
                Modèle
            , ,312006, ,
                Gamme
            , ,Kappa Fall/Winter 2023, ,
                Index
            , ,0000303372095, , , 
        Afficher plus de détails
    ,
            Taille et ajustement
        , , ,Notre mannequin mesure 189 cm et porte actuellement une taille L fabricant, ,
                Ajustement
            , ,
                            Regular Fit
                        , , ,
                Longueur
            , ,
                            standard
                        , , , , ,
            Composition et entretien
        , ,
                Composition
            , ,100% coton, , , ",,,,,,T-shirt 312006 Noir Regular Fit,https://modivo.fr/p/kappa-t-shirt-312006-noir-regular-fit-0000303372095
,,,"
            Détails
        , ,
                Marque
            , ,
                            New Balance
                        , , ,
                Chaussures de sport
            , ,Lifestyle, ,
                Couleur
            , ,Marron, ,
                Couleur indiquée par le fabricant
            , ,DUO, ,
                Fermeture
            , ,Élastique, ,
                Coupe de pantalon
            , ,bas de jambe élastiqué, ,
                Modèle
            , ,NB Essentials Sweatpant MP33509, ,
                Gamme
            , ,New Balance Fall/Winter 2023/Q3, ,
                Index
            , ,0000303172572, , , 
        Afficher plus de détails
    ,
            Taille et ajustement
        , , ,
                Ajustement
            , ,
                            Regular Fit
                        , , ,
                Type de taille
            , ,Régulière, ,
                Longueur
            , ,
                            Longue
                        , , , , ,
            Composition et entretien
        , ,
                Composition
            , ,65% coton 35% polyester, , , ",,,,,,Pantalon jogging NB Essentials Sweatpant MP33509 Marron Regular Fit,https://modivo.fr/p/new-balance-pantalon-jogging-nb-essentials-sweatpant-mp33509-marron-regular-fit-0000303172572
,,,"
            Détails
        , ,
                Marque
            , ,
                            Columbia
                        , , ,
                Chaussures de sport
            , ,Outdoor, ,
                Couleur
            , ,Marron, ,
                Couleur indiquée par le fabricant
            , ,Delta 257, ,
                Fermeture
            , ,À glissière, ,
                Coupe de pantalon
            , ,Fuselée, ,
                Modèle
            , ,Maxtrail™ Midweight Warm Pant, ,
                Gamme
            , ,Columbia Fall/Winter 2023, ,
                Index
            , ,0000302400270, , , 
        Afficher plus de détails
    ,
            Taille et ajustement
        , , ,Notre mannequin mesure 186 cm et porte actuellement une taille 32 fabricant, ,
                Ajustement
            , ,
                            Regular Fit
                        , , ,
                Type de taille
            , ,Régulière, ,
                Longueur
            , ,
                            Longue
                        , , , , ,
            Composition et entretien
        , ,
                Composition
            , ,57% polyester recyclé 34% polyester 9% élasthanne, , , , 
                Afficher les conseils d'entretien
            , , Conseils d'entretien: , , ,
            séchage en machine à basse vitesse
        , ,
            blanchiment exclu
        , ,
            repassage exclu
        , ,
            nettoyage à sec interdit
        , ,
            lavage en machine à 30°C programme délicat
        ",,,,,,Pantalon outdoor Maxtrail™ Midweight Warm Pant Marron Regular Fit,https://modivo.fr/p/columbia-pantalon-outdoor-maxtrailtm-midweight-warm-pant-marron-regular-fit-0000302400270
,,,"
            Détails
        , ,
                Marque
            , ,
                            North Sails
                        , , ,
                Couleur
            , ,Bleu marine, ,
                Couleur indiquée par le fabricant
            , ,Navy Blue 802, ,
                Motif
            , ,Uni, ,
                Fermeture
            , ,À glissière, ,
                Poches
            , ,Poche intérieure, Zippé, ,
                Motifs
            , ,Zip à 2 directions, Ourlet inférieur réglable, ,
                Modèle
            , ,MASERATI Ostro 450143, ,
                Gamme
            , ,North Sails Fall/Winter 2023, ,
                Collection
            , ,
                            North Sails X Maserati
                        , , ,
                Index
            , ,0000303462086, , , 
        Afficher plus de détails
    ,
            Taille et ajustement
        , , ,Notre mannequin mesure 186 cm et porte actuellement une taille L fabricant, ,
                Ajustement
            , ,
                            Regular Fit
                        , , ,
                Longueur
            , ,
                            standard
                        , , , , ,
            Composition et entretien
        , ,
                Composition
            , ,100% polyester, ,
                Doublure
            , ,Oui, ,
                Rembourrage
            , ,100% polyester, ,
                Doublure
            , ,100% polyamide, ,
                Fonction
            , ,
                            protégeant du vent
                        ,  ,  ,
                            Imperméabilité
                        , , , , , 
                Afficher les conseils d'entretien
            , , Conseils d'entretien: , , ,
            séchage à plat
        , ,
            repassage à température faible max.110°C
        , ,
            lavage en machine à 30°C programme délicat
        , ,
            blanchiment exclu
        , ,
            séchage en machine interdit
        , ,
            nettoyage à sec interdit
        ",,,,,,Gilet MASERATI Ostro 450143 Bleu marine Regular Fit,https://modivo.fr/p/north-sails-gilet-maserati-ostro-450143-bleu-marine-regular-fit-0000303462086
,,,"
            Détails
        , ,
                Marque
            , ,
                            CMP
                        , , ,
                Couleur
            , ,Kaki, ,
                Couleur indiquée par le fabricant
            , ,Militare/Antracite 13EM, ,
                Type de fermeture
            , ,Lacets, ,
                Type de bout
            , ,Rond, ,
                Type de semelle
            , ,Plat, ,
                Autres
            , ,Lacets en tissu, ,
                Modèle
            , ,Heka Hiking Shoes Wp 3Q49557, ,
                Gamme
            , ,CMP Fall/Winter 2023, ,
                Index
            , ,0000301343233, , , 
        Afficher plus de détails
    ,
            Taille et ajustement
        , , ,
                Épaisseur de semelle
            , ,2.5 cm, ,
                Circonférence de la tige en haut (pointure la plus petite)
            , ,30 cm, ,
                Tour de cheville (pointure la plus petite)
            , ,34 cm, ,
                Hauteur totale de la chaussure
            , ,15 cm, ,
                Poids de chaussure (pointure la plus petite)
            , ,442 g, , , ,
            Composition et entretien
        , ,
                Doublure
            , ,Non, ,
                Semelle de propreté
            , ,Tissu, ,
                Intérieur
            , ,Tissu, ,
                Tige
            , ,Cuir - Daim, ,
                Rembourrage
            , ,Rigide, ,
                Semelle d'usure
            , ,Matière synthétique de haute qualité, ,
                Contient des parties non textiles d'origine animale
            , ,Oui, , , ,
            Technologies appliquées
        , ,
            Waterproof
        , ,
            EVA
        , ,
            CMP Full On Grip
        , ,
            Clima Protect®
        , ",,,,,,Chaussures de trekking Heka Hiking Shoes Wp 3Q49557 Kaki,https://modivo.fr/p/cmp-chaussures-de-trekking-heka-hiking-shoes-wp-3q49557-kaki
,,,"
            Détails
        , ,
                Marque
            , ,
                            4F
                        , , ,
                Couleur
            , ,Rouge, ,
                Couleur indiquée par le fabricant
            , ,62S, ,
                Motif
            , ,Imprimé, ,
                Fermeture
            , ,À enfiler, ,
                Manche
            , ,Manche longue, ,
                Modèle
            , ,4FAW23TSWSM692, ,
                Gamme
            , ,4F Fall/Winter 2023, ,
                Index
            , ,0000302881222, , , 
        Afficher plus de détails
    ,
            Taille et ajustement
        , , ,
                Ajustement
            , ,
                            Regular Fit
                        , , ,
                Longueur
            , ,
                            standard
                        , , , , ,
            Composition et entretien
        , ,
                Composition
            , ,95% coton 5% élasthanne / 100% coton, , , ",,,,,,Sweatshirt 4FAW23TSWSM692 Rouge Regular Fit,https://modivo.fr/p/4f-sweatshirt-4faw23tswsm692-rouge-regular-fit-0000302881222
,,,"
            Détails
        , ,
                Marque
            , ,
                            2005
                        , , ,
                Couleur
            , ,Marron, ,
                Couleur indiquée par le fabricant
            , ,Ciemny Brąz, ,
                Motif
            , ,Imprimé, ,
                Décolleté
            , ,
                            Rond
                        , , ,
                Motifs
            , ,Produit unisex, ,
                Fabriqué
            , ,Union Européenne, ,
                Modèle
            , ,Unisex Hot Moms Tee, ,
                Gamme
            , ,2005 Fall/Winter 2023, ,
                Index
            , ,0000303493776, , , 
        Afficher plus de détails
    ,
            Taille et ajustement
        , , ,
                Ajustement
            , ,
                            Relaxed Fit
                        , , ,
                Longueur
            , ,
                            standard
                        , , , , ,
            Composition et entretien
        , ,
                Composition
            , ,100% coton, , , , 
                Afficher les conseils d'entretien
            , , Conseils d'entretien: , , ,
            séchage à la verticale
        , ,
            repassage à température faible max.110°C
        , ,
            lavage à la main ou en machine programme lavage main
        , ,
            blanchiment exclu
        , ,
            séchage en machine interdit
        , ,
            nettoyage à sec interdit
        ",,,,,,T-shirt Unisex Hot Moms Tee Marron Relaxed Fit,https://modivo.fr/p/2005-t-shirt-unisex-hot-moms-tee-marron-relaxed-fit-0000303493776
